W/L,Win_Margin,Away,Home,Year,Point_Differential,RW,GF/GP,GA/GP,Total_goal_differential,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,Shot_Differential,FOW%,Win% 1 Goal Game,Win% 2 Goal Game,Win% 3 Goal Game,Wins 1 Goal Game,Wins 2 Goal Game,Wins 3 Goal Game,Loss 1 Goal Game,Loss 2 Goal Game,Loss 3 Goal Game,SF GP,W% SF,W% TF,PIM,Pen Drawn/60,Pen Taken/60,Net Pen/60,Bench,Minor,Major,Match,Msct,G Msct,GF in P1,GA in P1,GF in P2,GA in P2,Wins Lead 1P,Loss Lead 1P,Ties Lead 1P,OT Loss Lead 1P,Win% Lead 1P,Wins Lead 2P,Loss Lead 2P,Ties Lead 2P,OT Loss Lead 2P,Win% Lead 2P,Wins Trail 1P,Loss Trail 1P,Ties Trail 1P,OT Loss Trail 1P,Win% Trail 1P,Wins Trail 2P,Loss Trail 2P,Ties Trail 2P,OT Loss Trail 2P,Win% Trail 2P
0,-1,WSH,TBL,2018,8,4,0.42,-0.05,0.47,1.4,-4.2,3.5,-2.3,3.7,0.8,2.9,-2.2,0.07,-0.067,0.145,3,-4,6,0,0,-3,6,0.026,0.04,-47,0.45,0.01,0.43,-3,12,-3,0,-5,0,3,5,24,2,-5,4,0,0,-0.145,0,0,0,-1,0.023,1,-1,0,3,0.002,6,2,0,-1,0.17
0,-1,WPG,NSH,2018,3,-1,-0.15,-0.14,-0.01,-2.1,0.1,-1.4,0.3,0,0.5,-0.5,0.9,0.004,0.101,-0.009,2,6,-7,0,1,-3,4,0.017,-0.042,231,0.28,0.65,-0.37,-1,31,15,0,6,5,-20,-18,4,0,-7,2,0,2,-0.14,-5,1,0,3,-0.095,0,0,0,2,-0.044,2,-1,0,2,0.064
1,1,TOR,BOS,2018,7,4,-0.03,-0.23,0.2,-1.4,2.3,-3.1,4.3,0.8,-4.6,5.4,-1,-0.075,0.166,0.019,-4,3,2,-3,-3,0,-13,0.004,0.154,208,0.69,0.57,0.12,-4,27,16,1,5,2,-12,10,4,-14,-7,-4,0,2,0.019,2,-3,0,2,0.031,3,-1,0,4,0.069,1,-3,0,3,0.029
1,2,PIT,WSH,2018,5,5,-0.17,-0.12,-0.05,-3.7,0.3,-5.7,-0.5,-5.4,0.8,-6.2,0.1,0.092,0.047,-0.1,1,5,-4,-6,1,2,-10,0.109,0.022,25,-0.17,0.03,-0.19,2,-5,7,0,1,-2,1,-9,5,-24,5,-2,0,-2,0.145,12,1,0,1,-0.023,0,-1,0,-1,0.026,-3,-5,0,-1,-0.058
1,2,SJS,VGK,2018,9,4,0.26,-0.02,0.28,0.4,-3.4,-0.5,-3.6,-0.2,0.4,-0.6,-2.4,0.016,0.25,0.002,4,-2,4,5,-10,2,1,0.129,0.01,-70,-0.17,0.01,-0.18,-2,16,-6,0,-3,-4,-1,-9,5,2,-4,3,0,-1,-0.083,1,2,0,0,-0.048,-4,1,0,0,-0.127,1,-4,0,-1,0.068
1,2,CBJ,WSH,2018,8,8,0.24,0.14,0.1,5.3,4.1,5.2,3.8,-4.7,0.6,-5.3,2,0.011,0.302,-0.022,-5,8,2,-2,-4,3,-2,0.119,0.027,106,0.05,0.37,-0.31,-2,22,6,0,4,0,6,-2,-11,-21,11,-4,0,-1,0.227,4,1,0,1,-0.041,-2,-2,0,-3,0.008,-5,-6,0,0,-0.105
1,2,PHI,PIT,2018,2,2,0.25,0.14,0.11,5.5,4.2,8.1,5.2,2.3,1.2,1.1,-3,0.09,0.122,-0.104,5,-2,-1,1,-5,4,15,-0.079,0,40,0.36,0.19,0.17,3,15,-8,0,6,-1,23,0,3,39,5,-1,0,0,0.071,-3,-2,0,1,0.023,-5,-5,0,-3,-0.032,0,1,0,-1,0
1,2,COL,NSH,2018,22,7,0.07,-0.39,0.46,-0.7,-1.4,1.8,-0.6,2.5,-0.9,3.4,9.1,0.192,0.142,0.073,13,0,-3,-2,-5,-5,4,0.038,0.187,197,-0.11,0.58,-0.69,0,30,11,0,7,3,9,-3,1,-18,1,1,0,2,-0.073,2,0,0,1,-0.015,6,-5,0,-1,0.3,3,-11,0,1,0.137
1,3,BOS,TBL,2018,1,1,0.28,0.28,0,0.3,-7.6,3.1,-7.9,-0.3,3.4,-3.7,-2.6,0.093,0.203,-0.105,2,3,-1,3,-4,4,6,0.053,-0.005,-25,0.29,0.28,0.01,0,37,-9,-1,-2,-2,0,-1,24,6,-1,3,0,-2,-0.036,3,1,0,-2,0.031,1,0,0,-2,0.051,3,3,0,-4,0.086
1,3,NJD,TBL,2018,16,9,0.58,-0.08,0.66,2.5,-5.7,3.7,-6.9,1,0.8,0.2,1.2,0.054,0.218,0.103,0,2,7,-1,-6,0,-3,0.185,0.045,188,0.88,1.03,-0.14,-7,83,8,-1,2,-1,6,16,32,-9,1,0,0,-2,0.062,6,-2,0,-1,0.09,2,0,0,3,0.02,4,-4,0,-2,0.144
1,3,MIN,WPG,2018,13,5,0.28,-0.16,0.44,3,0.5,2.9,1.2,2,0.6,1.4,2.6,0.097,0.083,0.067,4,-5,9,0,-7,2,6,0.055,0.088,-121,0.46,-0.33,0.79,5,-13,-21,0,0,0,24,10,19,8,7,-1,0,-4,0.163,10,-2,0,-5,0.175,3,-7,0,-2,0.236,-2,-3,0,-2,-0.036
1,4,LAK,VGK,2018,11,5,0.38,0.28,0.1,0.6,-3.6,0.2,-2.1,1.8,-0.2,2,-0.8,0.127,-0.055,0.201,3,-5,11,0,-1,-1,5,0.162,0.024,-119,-0.53,-0.2,-0.34,-1,2,-13,0,-3,-2,17,-3,-2,-14,9,4,0,-3,0.083,2,2,0,-3,0.032,-1,-3,0,-2,0.023,2,-2,0,-2,0.092
0,-4,NSH,CHI,2017,15,2,0.03,-0.09,0.12,-0.9,-3.2,-1.6,-7.7,-0.6,1.3,-1.9,-3.9,-0.119,0.276,0.103,4,3,-2,4,-8,-6,12,0.029,-0.003,-372,-0.94,-1.51,0.57,1,-97,-22,0,-3,-4,8,-13,-8,4,3,0,0,2,-0.033,-3,2,0,2,-0.114,-5,-9,0,1,-0.02,3,-10,0,1,0.138
